plain_urdu,poetic_urdu
زندگی ایک امتحان ہے۔,زیست اک آزمائش ہے، ہر گام پہ اک امتحان
زندگی ایک سفر ہے,یہ زندگی اک کارواں ہے رواں دواں
زندگی ایک سفر ہے۔,زندگی ہے اک سفرِ مسلسل۔
زندگی ایک سفر ہے۔,زیست اک کارواں ہے۔
زندگی ایک نعمت ہے۔,زندگی خدا کا تحفہ ہے
زندگی ایک نعمت ہے۔,زندگی ایک نعمت ہے۔
زندگی جدوجہد کا نام ہے۔,زندگی ہے جدوجہد کا نام۔
زندگی سے پیار کرو۔,حیات سے عشق کرو۔
زندگی سے پیار کرو۔,زندگی ایک خوبصورت تحفہ ہے
زندگی مختصر ہے۔,زندگی مانندِ شرر ہے۔
زیبرا دھاری دار ہے۔,زیبرا دھاری دار ہے۔
ساحل دلکش ہے۔,ساحل دلکش ہے۔
سادہ اردو,شاعرانہ اردو
سادہ اردو,شاعرانہ اردو ترجمہ
سادہ اردو جملہ,شاعرانہ اردو ترجمہ
سادہ اردو جملہ,شاعرانہ ترجمہ
سادہ اردو متن,شاعرانہ اردو ترجمہ
سادہ اردو متن,شاعرانہ ترجمہ
سادہ زندگی گزارو,بے تکلف زندگی اپناؤ
سانپ رینگ رہا ہے۔,سانپ رینگ رہا ہے۔
سب برابر ہیں۔,تمام انسان برابر ہیں
سب پر بھروسہ کرو۔,سب پر اعتماد کرو
سب سے پیار سے بات کرو۔,سب سے شیریں زبانی سے پیش آؤ، یہ ہے حسنِ اخلاق۔
سب سے محبت کرو۔,تمام انسانوں سے پیار کرو
سب سے محبت کرو۔,ہر ایک سے پیار کرو
سب کا احترام کرو۔,ہر کسی کی عزت کرو
سب کا خیال رکھو۔,ہر شخص کا خیال رکھو
سب کا خیال رکھو۔,ہر ایک کا خیال رکھو
سب کو سمجھو۔,سب کو سمجھنے کی کوشش کرو
سب کو معاف کر دو۔,سب کو معاف کر دو
سب کی قدر کرو۔,ہر ایک کی قدر کرو
سب کے ساتھ اچھا سلوک کرو۔,سب کے ساتھ نیک سلوک کرو، یہ ہے زندگی کا حاصل۔
سب کے ساتھ رہو۔,ہر ایک کے ساتھ مل کر رہو
سب کے لیے دعا کرو۔,ہر ایک کے لیے دعا کرو
سبزیاں تازہ ہیں۔,سبزیاں تازہ ہیں۔
سپاہی وطن کی حفاظت کرتا ہے۔,سپاہی وطن کا محافظ ہے۔
ستارے آسمان پر ٹمٹما رہے ہیں۔,آسماں پر ہیں درخشاں، یہ ستارے جگمگاتے۔
ستارے آسمان پر ٹمٹماتے ہیں,آسمان پر جگمگاتے ہیں تارے ان گنت
ستارے آسمان پر ٹمٹماتے ہیں۔,ستارے رات کی آنکھوں کے تارے ہیں
ستارے آسمان پر ٹمٹماتے ہیں۔,فلک پر ستارے جگمگاتے ہیں۔
ستارے ٹمٹما رہے ہیں۔,نجوم فلک پر جگمگا رہے ہیں۔
ستارے جھلملا رہے ہیں۔,تارے جھلملا رہے ہیں۔
ستارے چمک رہے ہیں,رات کے آنگن میں جگنو رقص کر رہے ہیں
سچ بولو۔,سچ بولنے سے سکون ملتا ہے
سچ بولو۔,صداقت پہ چلو۔
سچ بولو۔,ہمیشہ سچ کا دامن تھامو
سچ کڑوا ہوتا ہے۔,حق تلخ ہوتا ہے۔
سچ کڑوا ہوتا ہے۔,سچ ہوتا ہے کڑوا اکثر۔
سچ ہمیشہ جیتتا ہے۔,حق ہمیشہ غالب آتا ہے۔
سچ ہمیشہ جیتتا ہے۔,صداقت کی ہوتی ہے ہمیشہ فتح۔
سچ ہمیشہ جیتتا ہے۔,فتح صداقت کی ہے ہر دور میں
سچ ہمیشہ جیتتا ہے۔,فتح ہمیشہ سچ کی ہوتی ہے، یہ ہے حقیقت۔
سچ ہمیشہ جیتتا ہے۔,فتح ہمیشہ سچ کی ہوتی ہے، یہ ہے اٹل اصول
سچ ہمیشہ جیتتا ہے۔,حق کی فتح یقینی ہے۔
سچ ہمیشہ جیتتا ہے۔,فتح ہمیشہ سچ کی ہے اے منکرِ صداقت۔
سچ ہمیشہ جیتتا ہے۔,فتح ہمیشہ سچ کی ہوتی ہے۔
سچ ہمیشہ جیتتا ہے۔,حق کی فتح ہے لازوال۔
سچ ہمیشہ جیتتا ہے۔,صداقت ہے غالب ہمیشہ، جھوٹ مٹ جاتا ہے۔
سچ ہمیشہ جیتتا ہے۔,فتح سچ کی ہے ہمیشہ، یہ ہے اصولِ جہاں۔
سچ ہمیشہ غالب آتا ہے۔,حق ہمیشہ سر بلند ہوتا ہے۔
سچ ہمیشہ غالب آتا ہے۔,فتح ہمیشہ سچ کی ہوتی ہے۔
سچ ہمیشہ کڑوا ہوتا ہے۔,تلخ کام ہے سدا سخنِ حق۔
سچ ہمیشہ کڑوا ہوتا ہے۔,تلخ ہوتا ہے سچ کا جام ہمیشہ۔
سچ ہمیشہ کڑوا ہوتا ہے۔,تلخ ہے حقیقت کا جام ہمیشہ۔
سچ ہمیشہ کڑوا ہوتا ہے۔,حقیقت کی تلخی میں پنہاں ہے امرت کا راز
سچ ہمیشہ کڑوا ہوتا ہے۔,تلخ نوائی ہے سچائی کی خاصیت۔
سخاوت دلیری ہے,فیاضی ہے اصل بہادری
سخی بنو۔,سخی دل بنو
سخی بنو۔,فیاض بنو۔
سردی بڑھ گئی ہے۔,سردی بڑھ گئی۔
سردی کا موسم بہت ٹھنڈا ہوتا ہے۔,موسم سرما ہے برف پوش، ٹھنڈک کا احساس ہے تو
سرمایہ کاری کرو۔,منافع بخش کاروبار میں پیسہ لگاؤ
سڑک لمبی ہے۔,سڑک طویل ہے۔
سفر کرو۔,دنیا کی سیر کرو
سفر کرو۔,سیاحت کرو۔
سکھاؤ۔,درس و تدریس کرو۔
سکول بڑا ہے۔,سکول بڑا ہے۔
سکول جاؤ۔,مدرسہ جاؤ
سمجھدار بنو۔,عقلمندی سے کام لو
سمجھنا ایک ہنر ہے۔,سمجھنا ایک مشکل کام ہے
سمجھو۔,فہم و فراست سے کام لو۔
سمجھوتہ کرو۔,مسائل کو افہام و تفہیم سے حل کرو
سمندر گہرا ہوتا ہے۔,بحر عمیق ہوتا ہے۔
سمندر وسیع ہے۔,سمندر وسیع ہے۔
سنو۔,گوش ہوش سے سنو۔
سوال پوچھو۔,استفسار کرو۔
سوال پوچھو۔,سوالات پوچھو
سوچنا ایک عمل ہے۔,سوچنا ذہن کو تیز کرتا ہے
سوچو۔,غور و فکر کرو۔
سورج غروب ہو رہا ہے,شام کی دہلیز پر سونا بکھر رہا ہے
سورج مشرق سے طلوع ہوتا ہے,مشرق سے نمودار ہوا خورشیدِ تاباں
سورج مشرق سے طلوع ہوتا ہے,مطلعِ مشرق سے نمودار ہوا خورشیدِ جہاں تاب
سورج مشرق سے طلوع ہوتا ہے,مطلعِ مشرق سے نور کا ظہور ہوتا ہے
سورج مشرق سے طلوع ہوتا ہے,نکلتا ہے خورشید مشرق کی سمت سے
سورج مشرق سے طلوع ہوتا ہے۔,خورشیدِ تاباں مشرق سے نمودار ہوتا ہے۔
سورج مشرق سے طلوع ہوتا ہے۔,سورج مشرق سے نور بکھیرتا ہے۔
سورج مشرق سے طلوع ہوتا ہے۔,مشرق سے اُفق پر نور کا دریا بہتا ہے۔
سورج مشرق سے طلوع ہوتا ہے۔,مشرق سے اُفق پہ نور کا پیکر نمودار ہوا۔
سورج مشرق سے طلوع ہوتا ہے۔,مشرق سے نمودار ہوا خورشید جہاں تاب
سورج مشرق سے طلوع ہوتا ہے۔,مشرق سے نمودار ہوا خورشید جہاں تاب۔
سورج مشرق سے طلوع ہوتا ہے۔,مشرق سے نمودار ہوا خورشیدِ جہاں تاب۔
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ صبح سے اُبھرتا ہے خورشیدِ جہاں تاب
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ صبح سے نور برآمد ہوتا ہے۔
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ صبح سے نور کا ظہور ہے۔
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ مشرق سے اُٹھا ہے خورشیدِ جہاں تاب۔
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ مشرق سے اُٹھتا ہے خورشیدِ جہاں تاب۔
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ مشرق سے خورشیدِ جہاں تاب آیا۔
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ مشرق سے خورشید کا درخشاں ہونا
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ مشرق سے خورشید کا ظہور ہوتا ہے۔
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ مشرق سے خورشید کا ظہور ہے۔
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ مشرق سے خورشید نمودار ہوتا ہے۔
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ مشرق سے نمودار ہوا خورشیدِ جہاں تاب۔
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ مشرق سے نمودار ہے خورشیدِ جہاں تاب۔
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ مشرق سے نورِ سحر جھلکتا ہے۔
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ مشرق سے نور کا پیمانہ چھلکا۔
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ مشرق سے نور کا ظہور ہوتا ہے۔
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ مشرق سے نور کا ظہور ہے۔
سورج مشرق سے طلوع ہوتا ہے۔,مطلعِ مشرق سے اُبھرتا ہے خورشیدِ جہاں تاب۔
سورج مشرق سے نکلتا ہے,مطلعِ مشرق سے اُٹھتا ہے خورشیدِ جہاں تاب
سورج مشرق سے نکلتا ہے۔,مشرق سے اُفق پہ نور کا جام آیا ہے
سورج مشرق سے نکلتا ہے۔,مطلعِ صبح سے نور کا ظہور ہوتا ہے۔
سورج مشرق سے نکلتا ہے۔,مطلعِ مشرق سے خورشیدِ جہاں تاب طلوع ہوتا ہے۔
سورج مشرق سے نکلتا ہے۔,مطلعِ مشرق سے خورشید عیاں ہوتا ہے۔
سورج مشرق سے نکلتا ہے۔,مطلعِ مشرق سے خورشید نمودار ہوتا ہے۔
سورج مشرق سے نکلتا ہے۔,مطلعِ مشرق سے ضیا باری ہے آفتاب۔
سیکھتے رہو۔,ہمیشہ سیکھتے رہو
سیکھنا ایک مسلسل عمل ہے۔,سیکھنا ساری زندگی جاری رہتا ہے
سیکھو۔,کسبِ علم کرو۔
شاگرد سیکھتے ہیں۔,طالب علم حاصل کرتے ہیں شعور
شام ہو گئی ہے۔,شام ڈھل گئی۔
شاہی قلعہ لاہور ایک عظیم الشان قلعہ ہے۔,شاہی قلعہ ہے شانِ لاہور، عظمت کی نشانی ہے تو
شب برات ایک بابرکت رات ہے۔,شب برات ہے بابرکت رات، رحمت کی برسات ہے تو
شرافت اچھی چیز ہے,نجابت اک جوہرِ قابلِ تقلید ہے
شک نہیں کرنا چاہیے۔,شک سے رشتے کمزور ہوتے ہیں
شکر ادا کرنا چاہیے۔,شکر ادا کرنا چاہیے۔
شکر ادا کرو,حمد و ثنا کرو
شکر ادا کرو۔,سپاس گزار رہو۔
شکر ادا کرو۔,خدا کا شکر ادا کرو
شکر سے نعمتیں بڑھتی ہیں۔,شکر سے نعمتیں بڑھتی ہیں۔
شکر گزار بنو۔,ممنون رہو۔
شکر گزار رہو۔,ہر حال میں شکر گزار رہو
شہر بڑا ہے۔,شہر کی گہما گہمی میں ہے زندگی کی دوڑ
شہر روشن ہے۔,شہر روشن ہے۔
شیر دھاڑ رہا ہے۔,شیر دھاڑ رہا ہے۔
صاف ستھرا رکھو۔,اپنے ماحول کو صاف ستھرا رکھو
صبح جلدی اٹھو۔,صبح سویرے اٹھو
صبح ہو گئی ہے۔,صبح دم ہوا۔
صبر ایک اچھی عادت ہے۔,صبر سے مشکل آسان ہو جاتی ہے
صبر کا پھل میٹھا ہوتا ہے,صبر کی تلخی میں شیرینی ہے پنہاں
صبر کا پھل میٹھا ہوتا ہے۔,صبر کا پھل ہوتا ہے شیریں۔
صبر کا پھل میٹھا ہوتا ہے۔,صبر کا ثمر شیریں ہوتا ہے۔
صبر کا پھل میٹھا ہوتا ہے۔,صبر کے دامن میں ہے شیرینیِ ایام۔
صبر کا پھل میٹھا ہوتا ہے۔,صبر کا ثمر ہے شیریں، ملتا ہے اس سے قرار۔
صبر کا پھل میٹھا ہوتا ہے۔,صبر کی مٹھاس میں پوشیدہ ہے کامیابی کا راز
صبر کرو۔,تحمل سے کام لو
صبر کرو۔,حالات کا صبر سے مقابلہ کرو
صبر کرو۔,تحمل سے کام لو۔
صحت ایک نعمت ہے۔,تندرستی ہزار نعمت ہے۔
صحت ایک نعمت ہے۔,صحت اک انعام ہے۔
صحت دولت ہے۔,صحت سب سے بڑی دولت ہے
صحت سب سے بڑی دولت ہے۔,تندرستی ہزار نعمت ہے۔
صحت کا خیال رکھو۔,اپنی صحت کا خیال رکھو
صحت مند رہو۔,تندرست رہو۔
صحت ہزار نعمت ہے,تندرستی ہے تو زندگی ہے ورنہ سب سزا ہے
صحت ہزار نعمت ہے۔,صحت ہزار نعمتوں سے بڑھ کر ہے۔
صحت ہزار نعمت ہے۔,صحت ہے وہ نعمت، جس سے زندگی ہے حسین۔
صحت ہزار نعمت ہے۔,تندرستی ہزار نعمت ہے۔
صحت ہزار نعمت ہے۔,صحت ہے ہزار نعمتوں میں سے ایک۔
صحرا خاموش ہے۔,صحرا خاموش ہے۔
صحرا گرم ہے۔,صحرا کی تپش میں ہے زندگی کا امتحان
صحرائے تھر پاکستان کا سب سے بڑا صحرا ہے۔,صحرائے تھر ہے وسیع و عریض، قدرت کی نشانی ہے تو
صدقہ کرو۔,راہ خدا میں صدقہ کرو
صفائی رکھو۔,صفائی سے صحت اچھی رہتی ہے
صفائی نصف ایمان ہے۔,پاکیزگی ہے نصف ایمان، یہ ہے دین کی تعلیم۔
ظلم نہیں کرنا چاہیے۔,ظلم سے نفرت پھیلتی ہے
عاجز رہو۔,عاجزی اختیار کرو
عادل بنو۔,منصف مزاج بنو۔
عبادت کرو۔,بندگی کرو۔
عقل بڑی نعمت ہے۔,عقل ہے بڑی نعمتِ خدا۔
علامہ اقبال پاکستان کے قومی شاعر تھے۔,علامہ اقبال ہیں قومی شاعر، فلسفے کی پہچان ہیں تو
علم ایک طاقت ہے۔,طاقت ہے علم، روشنی کا منبع۔
علم ایک طاقت ہے۔,نورِ علم سے منور ہے جہاں سارا۔
علم حاصل کرنا ضروری ہے۔,علم حاصل کرنا لازمی ہے۔
علم حاصل کرنا ضروری ہے۔,کسبِ علم لازم ہے۔
علم حاصل کرو۔,علم حاصل کرنا عبادت ہے
علم حاصل کرو۔,علم حاصل کرو، یہ ہے زندگی کا مقصد۔
علم روشنی کی مانند ہے۔,علم ہے مثلِ نورِ سحر۔
علم روشنی ہے,علم ہے اک نور جو دلوں کو منور کرتا ہے
علم روشنی ہے اور جہالت اندھیرا۔,علم ہے نور اور جہل ہے ظلمت۔
علم روشنی ہے۔,علم سے جہالت دور ہوتی ہے
علم روشنی ہے۔,علم نور ہے۔
علم روشنی ہے۔,علم ایک نور ہے
علم سے عمل بہتر ہے۔,علم سے عمل ہے افضل تر۔
عمل سے زندگی بنتی ہے۔,عمل سے بنتی ہے زندگی۔
عید الاضحی ایک قربانی کا تہوار ہے۔,عید الاضحی ہے قربانی کا تہوار، ایثار کی علامت ہے تو
عید الفطر ایک مذہبی تہوار ہے۔,عید الفطر ہے مذہبی تہوار، خوشیوں کی سوغات ہے تو
غرور کا سر نیچا ہوتا ہے۔,غرور کا سر ہوتا ہے خم۔
غریبوں پر رحم کرو,محتاجوں پر شفقت کرو
غریبوں کو کھانا کھلاؤ۔,بھوکوں کو کھانا کھلاؤ
غریبوں کی مدد کرو۔,غریبوں کی مدد کرنا ثواب ہے
غریبوں کی مدد کرو۔,ناداروں کی دستگیری کرو۔
غریبوں کی مدد کرو۔,غریبوں کی مدد کرو، یہ ہے نیکی کا کام۔
غصہ ایک بری چیز ہے۔,غصہ عقل کو کھو دیتا ہے
غصہ مت کرو,غضب سے پرہیز کرو
غلطی مان لینی چاہیے۔,اپنی غلطی تسلیم کرو، یہ ہے اصلاح کا آغاز۔
غم ایک تجربہ ہے۔,غم انسان کو مضبوط بناتا ہے
فاطمہ جناح قائداعظم کی بہن تھیں۔,فاطمہ جناح ہیں قائداعظم کی بہن، ہمت کی مثال ہیں تو
فلم ایک تفریح ہے۔,فلم ایک دل لگی کا ذریعہ ہے
فیصل مسجد ایک شاندار عمارت ہے۔,فیصل مسجد ہے اک شہکارِ فن، عظمت کی نشانی ہے تو
قائداعظم محمد علی جناح پاکستان کے بانی تھے۔,قائداعظم ہیں بانیِ پاکستان، رہبرِ قوم ہیں تو
قانون سب کے لیے یکساں ہے,قانون کی نظر میں سب برابر ہیں
قانون کی پابندی کرو۔,قانون کی پاسداری کرو، یہ ہے ذمہ داری۔
قانون کی پاسداری کرو۔,قانون کا احترام کرو
قرآن پڑھو۔,کلام الٰہی کی تلاوت کرو
قرآن مجید اللہ کی کتاب ہے۔,قرآن کلامِ الٰہی ہے۔
قرض دو۔,ضرورت مندوں کو قرض حسنہ دو
قرض لو۔,ضرورت پڑنے پر قرض لو
قلعہ روہتاس ایک مضبوط قلعہ ہے۔,قلعہ روہتاس ہے مضبوط قلعہ، حفاظت کی علامت ہے تو
قلم ایک طاقتور ہتھیار ہے۔,قلم ہے سلاحِ قوی فکر و بیاں کا۔
قلم لکھتا ہے۔,قلم سے رقم ہوتی ہے تقدیر
قلم میں طاقت ہے۔,قلم میں ہے قوتِ اظہار۔
قناعت اختیار کرو,صبر و شکر سے زندگی گزارو
کائنات ایک راز ہے۔,کائنات ہے اک رازِ سربستہ۔
کاغذ پر لکھو۔,قرطاس پر رقم کرو
کالج جاؤ۔,کالج میں داخلہ لو
کام کرو۔,محنت مزدوری کرو
کام کرو۔,عمل پیرا ہو۔
کامیابی سے خوشی ملتی ہے۔,کامیابی سے خوشی ملتی ہے۔
کامیابی ملے گی۔,کامیابی تمہارا مقدر ہوگی
کبھی ہار مت مانو۔,ہار ماننا بری بات ہے
کتا بھونک رہا ہے۔,کتا بھونک رہا ہے۔
کتاب پڑھنا ایک اچھی عادت ہے۔,کتابیں پڑھنا ہے علم کی جانب سفر
کتابیں بہترین دوست ہیں۔,کتب ہیں بہترین رفیقِ سفر۔
کتابیں پڑھو۔,کتب بینی کرو
کتابیں علم کا خزانہ ہیں۔,اوراقِ علم سے جہالت کا پردہ اٹھتا ہے۔
کتابیں علم کا خزانہ ہیں۔,اوراقِ علم سے کھلتے ہیں معانی کے در
کتابیں علم کا خزانہ ہیں۔,علم کے موتی کتابوں میں پنہاں ہیں
کتابیں علم کا خزانہ ہیں۔,کتب علم کے دریا، حکمت کے خزینے ہیں
کتابیں علم کا خزانہ ہیں۔,کتب گنجینۂ دانش ہیں۔
کتابیں علم کا خزانہ ہیں۔,کتب گنجینۂ علم و آگہی ہیں۔
کتابیں علم کا خزانہ ہیں۔,کتب ہیں خزینۂ علم و آگہی جاناں۔
کتابیں علم کا خزانہ ہیں۔,کتب ہیں خزینہ علم و آگہی کا۔
کتابیں علم کا خزانہ ہیں۔,کتب ہیں خزینۂ علم و آگہی۔
کتابیں علم کا خزانہ ہیں۔,کتب ہیں خزینہ علم و عرفاں کا۔
کتابیں علم کا خزانہ ہیں۔,کتب ہیں گنجینۂ اسرارِ جہاں۔
کتابیں علم کا خزانہ ہیں۔,کتب ہیں گنجینۂ اسرارِ علم و آگہی۔
کتابیں علم کا خزانہ ہیں۔,کتب ہیں گنجینۂ علم و حکمت اے عزیز۔
کتابیں علم کا خزانہ ہیں۔,کتب ہیں گنجینۂ علم و ہنر اے طالب۔
کتابیں علم کا خزانہ ہیں۔,کتب علم و دانش کا گنجینہ ہیں۔
کتابیں علم کا خزانہ ہیں۔,کتب، گنجینۂ علم و عرفاں کا مظہر
کتابیں علم کا خزانہ ہیں۔,کتب ہیں کنزِ علم و عرفاں۔
کتابیں علم کا خزانہ ہیں۔,کتب ہیں گنجینۂ علم و آگہی۔
کچرا ری سائیکل کرو۔,کچرے کو دوبارہ استعمال کے قابل بناؤ
کچرا کم کرو۔,کچرے کو کم کرنے کی کوشش کرو
کچھوا آہستہ چلتا ہے۔,کچھوا آہستہ چلتا ہے۔
کراچی ایک بڑا ساحلی شہر ہے۔,ساحل پہ کھڑا شہر ہے کراچی، بحرِ عرب کی شان ہے تو
کراچی پاکستان کا بڑا شہر ہے۔,کراچی، شہرِ دلان، پاکستان کی شان
کرکٹ پاکستان کا مقبول ترین کھیل ہے۔,کرکٹ ہے دیوانگی یہاں، پاکستان کی جان ہے تو
کسان کھیت میں ہل چلاتا ہے۔,دہقان کھیت میں ہل چلاتا ہے۔
کسی کو تکلیف مت دو۔,تکلیف دینے سے دل دکھتا ہے
کمپیوٹر ایک مفید چیز ہے۔,کمپیوٹر ہے اک نعمت، سہولتوں کا خزینہ۔
کھانا تیار ہے,طعام ہے تیار، اب نوش کیجیے
کھانا تیار ہے۔,دسترخوان سجا ہے، ضیافت کا سماں
کھانا تیار ہے۔,دسترخوان پر نعمتیں ہیں تیار۔
کھانا تیار ہے۔,طعام اب تیار ہے، دسترخوان سجا ہے۔
کھانا تیار ہے۔,کھانا تیار ہے۔
کھانا ضائع مت کرو۔,کھانا ضائع کرنا گناہ ہے
کھانا لذیذ ہے۔,کھانے کا ذائقہ ہے منہ میں گھل جانے والا
کھانا وقت پر کھاؤ,وقت مقررہ پر غذا کھاؤ
کھانا وقت پر کھاؤ۔,بروقت غذا کھاؤ۔
کھیل ایک مشغلہ ہے۔,کھیل ایک صحت مند سرگرمی ہے
کھیلو۔,تفریح کرو۔
کوئی بڑا نہیں ہے۔,کوئی بھی کسی سے بڑا نہیں ہے
کوئی چھوٹا نہیں ہے۔,کوئی بھی کسی سے چھوٹا نہیں ہے
کوشش کرتے رہو۔,سعی جاری رکھو۔
کوشش کرتے رہو۔,سعی مسلسل کرتے رہو
کوشش کرتے رہو۔,کوشش کرنے سے منزل ملتی ہے
کے ٹو پاکستان کی بلند ترین چوٹی ہے۔,کے ٹو ہے بلند چوٹی یہاں، عظمت کی نشانی ہے تو
گاؤ۔,نغمہ سرا ہو۔
گاؤں پرسکون ہے۔,گاؤں کی سکون میں ہے زندگی کی راحت
گاؤں خاموش ہے۔,گاؤں خاموش ہے۔
گائے گھاس چر رہی ہے۔,گائے گھاس چر رہی ہے۔
گرجا گھر عالی شان ہے۔,گرجا گھر عالی شان ہے۔
گرمی کا موسم بہت شدید ہوتا ہے۔,موسم گرما ہے تپش بھرا، سورج کی تمازت ہے تو
گرمی کم ہو گئی ہے۔,گرمی کم ہو گئی۔
گفتگو کرو۔,بات چیت کرو
گندگی مت پھیلاؤ۔,گندگی سے بیماریاں پھیلتی ہیں
گھاس سبز ہے۔,گھاس سبز ہے۔
گھر خوبصورت ہے۔,گھر دلکش ہے۔
گھر میں سکون ہے,گھر میں ہے راحت، کیا چین ہے یہاں
گھوڑا دوڑ رہا ہے۔,گھوڑا دوڑ رہا ہے۔
گینڈا طاقتور ہے۔,گینڈا طاقتور ہے۔
لالچ بری بلا ہے,حرص اک مصیبت ہے
لاہور پاکستان کا دل ہے۔,لاہور ہے دل دھڑکنوں کا، پاکستان کی جان ہے تو
لاہور تاریخی شہر ہے۔,لاہور، شہرِ تہذیب، تاریخ کا نشان
لکھنا ایک فن ہے۔,لکھنا اپنے خیالات کو ظاہر کرنے کا طریقہ ہے
لکھو۔,اپنی سوچ کو قلمبند کرو
لومڑی چالاک ہے۔,لومڑی چالاک ہے۔
لیاقت علی خان پاکستان کے پہلے وزیراعظم تھے۔,لیاقت علی خان ہیں پہلے وزیراعظم، خدمت کی مثال ہیں تو
ماحول کو صاف رکھو,ماحول کو آلودگی سے بچاؤ
ماحول کو صاف رکھو۔,ماحول کو آلودگی سے بچاؤ
ماحول کو صاف رکھو۔,ماحول کو صاف رکھنا ضروری ہے
ماحول کو صاف رکھو۔,ماحول کو صاف ستھرا رکھو۔
ماں ایک عظیم نعمت ہے,ماں ہے جنت کی ٹھنڈی چھاؤں
ماں کی دعا جنت کی کنجی ہے۔,مادر کی دعا بابِ جنت ہے۔
ماں کی دعا جنت کی کنجی ہے۔,ماں کی دعا رحمت کا خزانہ ہے۔
ماں کی دعا جنت کی ہوا ہے۔,دعائے ماں ہے نسیمِ بہشت اے خوش نصیب۔
ماں کی دعا جنت کی ہوا ہے۔,ماں کی دعا سے جنت کی خوشبو آتی ہے
ماں کی دعا جنت کی ہوا ہے۔,ماں کی دعا ہے بادِ جنت، زندگی کو سکون۔
ماں کی دعا جنت کی ہوا ہے۔,ماں کی دعا ہے جنت کی ٹھنڈی ہوا۔
ماں کی دعا جنت کی ہوا ہے۔,ماں کی دعا سایۂ جنت ہے۔
ماں کی دعا جنت کی ہوا ہے۔,ماں کی آغوش، فردوس کی نشاں۔
ماں کی دعا جنت کی ہوا ہے۔,ماں کی دعا ہے بادِ بہشتی۔
ماں کی دعا جنت کی ہوا ہے۔,ماں کی دعا بادِ بہشت ہے۔
ماں کی دعا ہمیشہ ساتھ رہتی ہے۔,ماں کی دعا کا سایہ، ہر دم رہے ساتھ
ماں کی دعا ہمیشہ قبول ہوتی ہے۔,ماں کی دعا ہے عرش کا نور۔
مایوس مت ہو.,مایوسی بری چیز ہے
مایوس مت ہو۔,دل شکستہ نہ ہو۔
مایوسی گناہ ہے,ناامیدی کفر ہے یاس سے بچو
مت ہارو۔,ہمت نہ ہارو
متحد رہو۔,اتفاق اور یکجہتی سے رہو
مثبت سوچو۔,مثبت انداز فکر اپناؤ
مثبت سوچو۔,مثبت سوچنے سے کامیابی ملتی ہے
مجھے اردو زبان پسند ہے۔,ہے مجھے پیاری زباں اردو، مٹھاس ہے جس میں۔
مجھے اردو سیکھنا اچھا لگتا ہے۔,ذوقِ سخن سے اردو سیکھنا، دل کو بھانا
مجھے اردو سیکھنا اچھا لگتا ہے۔,شوقِ زباں ہے، اردو میری پہچان ہے۔
مجھے چائے پسند ہے۔,چائے کی چاہت دل کو ہے مرغوب۔
مجھے چائے پینا پسند ہے۔,لبوں کو چائے سے آشنا کرنا، ایک لذت
مجھے چائے پینا پسند ہے۔,مجھے لذتِ چائے سے ہے الفتِ خاص۔
مجھے چائے پینا پسند ہے۔,مجھ کو ہے رغبتِ جامِ لبریزِ چائے سے۔
مجھے چائے پینا پسند ہے۔,مجھ کو ہے کیفِ چائے، جاں کو راحت نصیب۔
مجھے چائے پینا پسند ہے۔,رغبت مجھے ہے چائے سے بے حد۔
مجھے کتاب پڑھنا پسند ہے,مطالعہ کتب ہے شوق میرا جواں
مجھے کتاب پڑھنا پسند ہے,شوقِ مطالعہ ہے میرا، یہ جانِ جہاں ہے میرا
مجھے کتاب پڑھنا پسند ہے۔,شوق ہے مطالعے کا، دل ہے بیتاب۔
مجھے کتاب پڑھنا پسند ہے۔,ہے شوقِ مطالعہ میری رگ رگ میں رواں۔
مجھے کتاب پڑھنا پسند ہے۔,شوقِ مطالعہ ہے مجھ کو بے حد۔
مجھے کتاب پڑھنا پسند ہے۔,شوق ہے مجھ کو مطالعے کا بہت۔
مجھے کتاب پڑھنا پسند ہے۔,شوقِ مطالعہ ہے، کتابوں کا میں دلدادہ ہوں۔
مجھے کتاب پڑھنا پسند ہے۔,شوقِ مطالعہ ہے، روح میری آباد ہے۔
مجھے کتاب پڑھنا پسند ہے۔,شوقِ مطالعہ سے دل کو جِلا ملتی ہے۔
مجھے کتاب پڑھنا پسند ہے۔,شوق ہے دل کو مرے، ورق گردانی کا۔
