english,urdu,poetic_urdu
The dog is barking.,کتا بھونک رہا ہے۔,ہار ماننا بری بات ہے
Reading a book is a good habit.,کتاب پڑھنا ایک اچھی عادت ہے۔,کتا بھونک رہا ہے۔
Books are best friends.,کتابیں بہترین دوست ہیں۔,کتابیں پڑھنا ہے علم کی جانب سفر
Read books.,کتابیں پڑھو۔,کتب ہیں بہترین رفیقِ سفر۔
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,کتب بینی کرو
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,اوراقِ علم سے جہالت کا پردہ اٹھتا ہے۔
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,اوراقِ علم سے کھلتے ہیں معانی کے در
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,علم کے موتی کتابوں میں پنہاں ہیں
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,کتب علم کے دریا، حکمت کے خزینے ہیں
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,کتب گنجینۂ دانش ہیں۔
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,کتب گنجینۂ علم و آگہی ہیں۔
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,کتب ہیں خزینۂ علم و آگہی جاناں۔
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,کتب ہیں خزینہ علم و آگہی کا۔
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,کتب ہیں خزینۂ علم و آگہی۔
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,کتب ہیں خزینہ علم و عرفاں کا۔
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,کتب ہیں گنجینۂ اسرارِ جہاں۔
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,کتب ہیں گنجینۂ اسرارِ علم و آگہی۔
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,کتب ہیں گنجینۂ علم و حکمت اے عزیز۔
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,کتب ہیں گنجینۂ علم و ہنر اے طالب۔
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,کتب علم و دانش کا گنجینہ ہیں۔
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,کتب، گنجینۂ علم و عرفاں کا مظہر
Books are a treasure of knowledge.,کتابیں علم کا خزانہ ہیں۔,کتب ہیں کنزِ علم و عرفاں۔
Recycle the garbage.,کچرا ری سائیکل کرو۔,کتب ہیں گنجینۂ علم و آگہی۔
Reduce waste.,کچرا کم کرو۔,کچرے کو دوبارہ استعمال کے قابل بناؤ
The turtle moves slowly.,کچھوا آہستہ چلتا ہے۔,کچرے کو کم کرنے کی کوشش کرو
Karachi is a big coastal city.,کراچی ایک بڑا ساحلی شہر ہے۔,کچھوا آہستہ چلتا ہے۔
Karachi is the biggest city of Pakistan.,کراچی پاکستان کا بڑا شہر ہے۔,ساحل پہ کھڑا شہر ہے کراچی، بحرِ عرب کی شان ہے تو
Cricket is the most popular sport of Pakistan.,کرکٹ پاکستان کا مقبول ترین کھیل ہے۔,کراچی، شہرِ دلان، پاکستان کی شان
The farmer plows the field.,کسان کھیت میں ہل چلاتا ہے۔,کرکٹ ہے دیوانگی یہاں، پاکستان کی جان ہے تو
Don't hurt anyone.,کسی کو تکلیف مت دو۔,دہقان کھیت میں ہل چلاتا ہے۔
A computer is a useful thing.,کمپیوٹر ایک مفید چیز ہے۔,تکلیف دینے سے دل دکھتا ہے
Food is ready,کھانا تیار ہے,کمپیوٹر ہے اک نعمت، سہولتوں کا خزینہ۔
Food is ready.,کھانا تیار ہے۔,طعام ہے تیار، اب نوش کیجیے
Food is ready.,کھانا تیار ہے۔,دسترخوان سجا ہے، ضیافت کا سماں
Food is ready.,کھانا تیار ہے۔,دسترخوان پر نعمتیں ہیں تیار۔
Food is ready.,کھانا تیار ہے۔,طعام اب تیار ہے، دسترخوان سجا ہے۔
Don't waste food.,کھانا ضائع مت کرو۔,کھانا تیار ہے۔
The food is delicious.,کھانا لذیذ ہے۔,کھانا ضائع کرنا گناہ ہے
Eat food on time,کھانا وقت پر کھاؤ,کھانے کا ذائقہ ہے منہ میں گھل جانے والا
Eat food on time.,کھانا وقت پر کھاؤ۔,وقت مقررہ پر غذا کھاؤ
Sports is a hobby.,کھیل ایک مشغلہ ہے۔,بروقت غذا کھاؤ۔
play,کھیلو۔,کھیل ایک صحت مند سرگرمی ہے
There is no big one.,کوئی بڑا نہیں ہے۔,تفریح کرو۔
No one is too small.,کوئی چھوٹا نہیں ہے۔,کوئی بھی کسی سے بڑا نہیں ہے
keep trying,کوشش کرتے رہو۔,کوئی بھی کسی سے چھوٹا نہیں ہے
keep trying,کوشش کرتے رہو۔,سعی جاری رکھو۔
keep trying,کوشش کرتے رہو۔,سعی مسلسل کرتے رہو
K2 is the highest peak of Pakistan.,کے ٹو پاکستان کی بلند ترین چوٹی ہے۔,کوشش کرنے سے منزل ملتی ہے
sing,گاؤ۔,کے ٹو ہے بلند چوٹی یہاں، عظمت کی نشانی ہے تو
The village is quiet.,گاؤں پرسکون ہے۔,نغمہ سرا ہو۔
The village is quiet.,گاؤں خاموش ہے۔,گاؤں کی سکون میں ہے زندگی کی راحت
The cow is grazing.,گائے گھاس چر رہی ہے۔,گاؤں خاموش ہے۔
The church is magnificent.,گرجا گھر عالی شان ہے۔,گائے گھاس چر رہی ہے۔
The summer season is very hot.,گرمی کا موسم بہت شدید ہوتا ہے۔,گرجا گھر عالی شان ہے۔
The heat has subsided.,گرمی کم ہو گئی ہے۔,موسم گرما ہے تپش بھرا، سورج کی تمازت ہے تو
Have a conversation.,گفتگو کرو۔,گرمی کم ہو گئی۔
Don't spread dirt.,گندگی مت پھیلاؤ۔,بات چیت کرو
The grass is green.,گھاس سبز ہے۔,گندگی سے بیماریاں پھیلتی ہیں
The house is beautiful.,گھر خوبصورت ہے۔,گھاس سبز ہے۔
There is peace in the house,گھر میں سکون ہے,گھر دلکش ہے۔
The horse is running.,گھوڑا دوڑ رہا ہے۔,گھر میں ہے راحت، کیا چین ہے یہاں
The rhinoceros is powerful.,گینڈا طاقتور ہے۔,گھوڑا دوڑ رہا ہے۔
Greed is a bad call,لالچ بری بلا ہے,گینڈا طاقتور ہے۔
Lahore is the heart of Pakistan.,لاہور پاکستان کا دل ہے۔,حرص اک مصیبت ہے
Lahore is a historical city.,لاہور تاریخی شہر ہے۔,لاہور ہے دل دھڑکنوں کا، پاکستان کی جان ہے تو
Writing is an art.,لکھنا ایک فن ہے۔,لاہور، شہرِ تہذیب، تاریخ کا نشان
write down,لکھو۔,لکھنا اپنے خیالات کو ظاہر کرنے کا طریقہ ہے
The fox is cunning.,لومڑی چالاک ہے۔,اپنی سوچ کو قلمبند کرو
Liaquat Ali Khan was the first Prime Minister of Pakistan.,لیاقت علی خان پاکستان کے پہلے وزیراعظم تھے۔,لومڑی چالاک ہے۔
Keep the environment clean,ماحول کو صاف رکھو,لیاقت علی خان ہیں پہلے وزیراعظم، خدمت کی مثال ہیں تو
Keep the environment clean.,ماحول کو صاف رکھو۔,ماحول کو آلودگی سے بچاؤ
Keep the environment clean.,ماحول کو صاف رکھو۔,ماحول کو آلودگی سے بچاؤ
Keep the environment clean.,ماحول کو صاف رکھو۔,ماحول کو صاف رکھنا ضروری ہے
Mother is a great blessing,ماں ایک عظیم نعمت ہے,ماحول کو صاف ستھرا رکھو۔
A mother's prayer is the key to heaven.,ماں کی دعا جنت کی کنجی ہے۔,ماں ہے جنت کی ٹھنڈی چھاؤں
A mother's prayer is the key to heaven.,ماں کی دعا جنت کی کنجی ہے۔,مادر کی دعا بابِ جنت ہے۔
A mother's prayer is the wind of heaven.,ماں کی دعا جنت کی ہوا ہے۔,ماں کی دعا رحمت کا خزانہ ہے۔
A mother's prayer is the wind of heaven.,ماں کی دعا جنت کی ہوا ہے۔,دعائے ماں ہے نسیمِ بہشت اے خوش نصیب۔
A mother's prayer is the wind of heaven.,ماں کی دعا جنت کی ہوا ہے۔,ماں کی دعا سے جنت کی خوشبو آتی ہے
A mother's prayer is the wind of heaven.,ماں کی دعا جنت کی ہوا ہے۔,ماں کی دعا ہے بادِ جنت، زندگی کو سکون۔
A mother's prayer is the wind of heaven.,ماں کی دعا جنت کی ہوا ہے۔,ماں کی دعا ہے جنت کی ٹھنڈی ہوا۔
A mother's prayer is the wind of heaven.,ماں کی دعا جنت کی ہوا ہے۔,ماں کی دعا سایۂ جنت ہے۔
A mother's prayer is the wind of heaven.,ماں کی دعا جنت کی ہوا ہے۔,ماں کی آغوش، فردوس کی نشاں۔
A mother's prayer is the wind of heaven.,ماں کی دعا جنت کی ہوا ہے۔,ماں کی دعا ہے بادِ بہشتی۔
A mother's prayer is always with you.,ماں کی دعا ہمیشہ ساتھ رہتی ہے۔,ماں کی دعا بادِ بہشت ہے۔
A mother's prayer is always accepted.,ماں کی دعا ہمیشہ قبول ہوتی ہے۔,ماں کی دعا کا سایہ، ہر دم رہے ساتھ
Don't be disappointed.,مایوس مت ہو.,ماں کی دعا ہے عرش کا نور۔
Don't despair.,مایوس مت ہو۔,مایوسی بری چیز ہے
Disappointment is a sin,مایوسی گناہ ہے,دل شکستہ نہ ہو۔
don't lose,مت ہارو۔,ناامیدی کفر ہے یاس سے بچو
Stay united.,متحد رہو۔,ہمت نہ ہارو
Think positive.,مثبت سوچو۔,اتفاق اور یکجہتی سے رہو
Think positive.,مثبت سوچو۔,مثبت انداز فکر اپناؤ
I like urdu language.,مجھے اردو زبان پسند ہے۔,مثبت سوچنے سے کامیابی ملتی ہے
I like to learn Urdu.,مجھے اردو سیکھنا اچھا لگتا ہے۔,ہے مجھے پیاری زباں اردو، مٹھاس ہے جس میں۔
I like to learn Urdu.,مجھے اردو سیکھنا اچھا لگتا ہے۔,ذوقِ سخن سے اردو سیکھنا، دل کو بھانا
I like tea.,مجھے چائے پسند ہے۔,شوقِ زباں ہے، اردو میری پہچان ہے۔
I like to drink tea.,مجھے چائے پینا پسند ہے۔,چائے کی چاہت دل کو ہے مرغوب۔
I like to drink tea.,مجھے چائے پینا پسند ہے۔,لبوں کو چائے سے آشنا کرنا، ایک لذت
I like to drink tea.,مجھے چائے پینا پسند ہے۔,مجھے لذتِ چائے سے ہے الفتِ خاص۔
I like to drink tea.,مجھے چائے پینا پسند ہے۔,مجھ کو ہے رغبتِ جامِ لبریزِ چائے سے۔
I like to drink tea.,مجھے چائے پینا پسند ہے۔,مجھ کو ہے کیفِ چائے، جاں کو راحت نصیب۔
I like to read book,مجھے کتاب پڑھنا پسند ہے,رغبت مجھے ہے چائے سے بے حد۔
I like to read book,مجھے کتاب پڑھنا پسند ہے,مطالعہ کتب ہے شوق میرا جواں
I like to read book.,مجھے کتاب پڑھنا پسند ہے۔,شوقِ مطالعہ ہے میرا، یہ جانِ جہاں ہے میرا
I like to read book.,مجھے کتاب پڑھنا پسند ہے۔,شوق ہے مطالعے کا، دل ہے بیتاب۔
I like to read book.,مجھے کتاب پڑھنا پسند ہے۔,ہے شوقِ مطالعہ میری رگ رگ میں رواں۔
I like to read book.,مجھے کتاب پڑھنا پسند ہے۔,شوقِ مطالعہ ہے مجھ کو بے حد۔
I like to read book.,مجھے کتاب پڑھنا پسند ہے۔,شوق ہے مجھ کو مطالعے کا بہت۔
I like to read book.,مجھے کتاب پڑھنا پسند ہے۔,شوقِ مطالعہ ہے، کتابوں کا میں دلدادہ ہوں۔
I like to read book.,مجھے کتاب پڑھنا پسند ہے۔,شوقِ مطالعہ ہے، روح میری آباد ہے۔
I like to read book.,مجھے کتاب پڑھنا پسند ہے۔,شوقِ مطالعہ سے دل کو جِلا ملتی ہے۔
I like to read book.,مجھے کتاب پڑھنا پسند ہے۔,شوق ہے دل کو مرے، ورق گردانی کا۔
I love reading books.,مجھے کتابیں پڑھنا بہت پسند ہے۔,شوقِ مطالعہ ہے، رُوح کو غذا ہے۔
I like to read books,مجھے کتابیں پڑھنا پسند ہے,دل میرا علم کی خوشبو سے مہکتا ہے۔
I like to read books.,مجھے کتابیں پڑھنا پسند ہے۔,شوقِ مطالعہ میری روح کو تسکین دیتا ہے
I like listening to music.,مجھے موسیقی سننا اچھا لگتا ہے۔,شوق ہے مجھ کو مطالعہ کتب کا۔
The fish is swimming.,مچھلی تیر رہی ہے۔,مجھ کو مرغوب ہے نغمہ، ساز کی دلکش صدا۔
Love is a beautiful feeling.,محبت ایک خوبصورت احساس ہے۔,مچھلی تیر رہی ہے۔
Love is God.,محبت خدا ہے۔,محبت اک نازک احساس ہے جاناں
Love is life.,محبت زندگی ہے۔,عشق ہی تو خدا ہے
Love is the greatest power.,محبت سب سے بڑی طاقت ہے۔,محبت جانِ جہاں ہے۔
Treat yourself with love,محبّت سے پیش آؤ,عشق اعظم قوت ہے۔
make love,محبت کرو۔,پیار سے ملو
Muhammad (peace be upon him) is the last prophet of Allah.,محمد صلی اللہ علیہ وسلم اللہ کے آخری نبی ہیں۔,سب سے محبت کرو
Hard work pays off.,محنت رنگ لاتی ہے۔,محمد مصطفیٰ خاتم النبیین ہیں۔
Luck changes with hard work.,محنت سے قسمت بدلتی ہے۔,محنت لاتی ہے رنگ اپنا۔
Hard work is the guarantee of success.,محنت کامیابی کی ضمانت ہے۔,محنت سے قسمت بدلتی ہے۔
Hard work is the key to success,محنت کامیابی کی کنجی ہے,سعیِ پیہم سے مقدر سنورتا ہے۔
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,سعی پیہم سے کھلتے ہیں درِ کامرانی
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,جفا کشی سے کھلتے ہیں کامرانی کے در
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,سعی پیہم سے کامرانی ملتی ہے۔
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,سعی پیہم سے ہے فتح، عیاں ہر کام میں۔
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,سعی پیہم ہے فلاح کی ضامن۔
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,عزم و ہمت سے کھلتے ہیں بابِ مراد۔
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,کوشش سے کھلتے ہیں کامیابی کے در۔
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,کوشش کیجیے کامیابی آپ کی منتظر ہے۔
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,محنت سے کھلتے ہیں قسمت کے در۔
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,محنت کی راہوں میں ہے کامرانی
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,محنت ہے وہ کنجی، جو کھولے بابِ مراد۔
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,عزم و ہمت سے کھلتے ہیں کامرانی کے در
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,سعی پیہم ہے کلیدِ فتح اے جواں ہمت۔
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,کوشش سے کامیابی کا در کھلتا ہے۔
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,سعی پیہم سے کھلتے ہیں درِ مراد۔
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,سعی پیہم ہے کلیدِ کامرانی۔
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,کامیابی کا راز ہے محنت پیہم۔
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,سعی طریقِ کامرانی ہے۔
Hard work is the key to success.,محنت کامیابی کی کنجی ہے۔,مشقت سے کھلتے ہیں بابِ مراد۔
work hard,محنت کرو۔,مشقت ہے کلیدِ فتح و کامرانی۔
work hard,محنت کرو۔,کوشش پیہم جاری رکھو
Be diligent.,محنتی بنو۔,محنت سے کامیابی ملتی ہے
help me,مدد کرو۔,محنت میں عظمت ہے
help me,مدد کرو۔,دست تعاون بڑھاؤ
help me,مدد کرو۔,دستِ تعاون بڑھاؤ۔
Be helpful.,مددگار بنو۔,مدد کرنے سے خوشی ملتی ہے
The rooster is crowing.,مرغ بانگ دے رہا ہے۔,دوسروں کی مدد کرو
The patient went to the doctor,مریض ڈاکٹر کے پاس گیا,مرغ بانگ دے رہا ہے۔
Visit patients.,مریضوں کی عیادت کرو۔,گیا مریض طبیب کے پاس، شفا کی آس ہے اسے
Help the passengers.,مسافروں کی مدد کرو۔,مریضوں کی عیادت کرنا سنت ہے
Help the passengers.,مسافروں کی مدد کرو۔,مسافروں کی اعانت کرو۔
Help the passengers.,مسافروں کی مدد کرو۔,مسافروں کی مدد کرو، یہ ہے خدمتِ خلق۔
Take care of the future.,مستقبل کا خیال رکھو۔,مسافروں کی رہنمائی کرو
The mosque is clean.,مسجد پاکیزہ ہے۔,آنے والی نسلوں کے لیے بہتر مستقبل بناؤ
Smile and make the world smile.,مسکراؤ اور دنیا کو مسکراؤ۔,مسجد پاکیزہ ہے۔
smile,مسکراؤ۔,تبسم کرو اور جہاں کو ہنساؤ۔
keep smiling,مسکراتے رہو,لبوں پر مسکراہٹ سجاؤ
Smiling is a saint.,مسکرانا ایک سنت ہے۔,لبوں پر تبسم سجائے رکھو
Help in difficult times.,مشکل وقت میں مدد کرو۔,مسکرانا دلوں کو جوڑتا ہے
Reconcile.,مصالحت کرو۔,مصیبت کے وقت میں لوگوں کی مدد کرو
Be strong.,مضبوط بنو۔,لڑائی جھگڑے ختم کرو
forgive me,معاف کر دو۔,مضبوط ارادے کے مالک بنو
forgive me,معاف کر دو۔,درگزر کرو
Forgiveness is a great act.,معاف کرنا ایک عظیم عمل ہے۔,درگزر کرو۔
Learn to forgive.,معاف کرنا سیکھو۔,معاف کرنا ہے عمل عظیم۔
Learn to forgive.,معاف کرنا سیکھو۔,معاف کرنے سے دل صاف ہوتا ہے
The spider is building a web.,مکڑی جال بن رہی ہے۔,معاف کرنا سیکھو، یہ ہے دل کی پاکیزگی۔
The fly is buzzing.,مکھی بھنبھنا رہی ہے۔,مکڑی جال بن رہی ہے۔
Crocodile is dangerous.,مگرمچھ خطرناک ہے۔,مکھی بھنبھنا رہی ہے۔
Love the country.,ملک سے پیار کرو۔,مگرمچھ خطرناک ہے۔
The temple is sacred.,مندر مقدس ہے۔,وطن سے پیار کرو، یہ ہے حب الوطنی۔
Don't think negatively.,منفی مت سوچو۔,مندر مقدس ہے۔
Be kind.,مہربان بنو۔,منفی سوچنے سے ناکامی ملتی ہے
Be hospitable.,مہمان نوازی کرو۔,سب کے ساتھ مہربانی سے پیش آؤ
Serve the guests,مہمانوں کی خدمت کرو,خاطر مدارات کرو۔
Serve the guests.,مہمانوں کی خدمت کرو۔,مہمان نوازی شعار بناؤ
Death is a reality.,موت ایک حقیقت ہے۔,مہمانوں کی خدمت کرو، یہ ہے ہماری روایت۔
Death is a reality.,موت ایک حقیقت ہے۔,موت سے کسی کو مفر نہیں
Death is right.,موت برحق ہے۔,موت ہے اک حقیقت اٹل۔
Death is right.,موت برحق ہے۔,موت اٹل حقیقت ہے۔
Death is right.,موت برحق ہے۔,موت ایک اٹل حقیقت ہے
Do not fear death.,موت سے مت ڈرو۔,موت یقینی ہے۔
Do not fear death.,موت سے مت ڈرو۔,مرگ سے خائف نہ ہو۔
The weather is cloudy.,موسم ابر آلود ہے۔,موت ایک حقیقت ہے
Spring is green everywhere.,موسم بہار میں ہر طرف ہریالی ہوتی ہے۔,موسم ابر آلود ہے۔
The weather is pleasant.,موسم خوشگوار ہے۔,فصلِ بہاراں میں ہر سو ہے سبزہ زار۔
Music soothes the soul.,موسیقی روح کو سکون بخشتی ہے۔,موسم سہانا ہے۔
Music is food for the soul.,موسیقی روح کی غذا ہے۔,نغمہ، روح کی گہرائیوں میں اتر کر سکون دینا
Music is food for the soul.,موسیقی روح کی غذا ہے۔,موسیقی ہے غذا روح کی۔
Mohenjodaro was an ancient city.,موہنجودڑو ایک قدیم شہر تھا۔,موسیقی روح کو تسکین دیتی ہے
My house is far from the city.,میرا گھر شہر سے دور ہے۔,موہنجودڑو ہے قدیم شہر، تاریخ کی کہانی ہے تو
Minar-e-Pakistan is a historical monument.,مینارِ پاکستان ایک تاریخی یادگار ہے۔,میرا کاشانہ ہے شہر سے پرے، گوشۂ تنہائی۔
I am very happy today.,میں آج بہت خوش ہوں۔,مینارِ پاکستان ہے علامت، آزادی کی نشانی ہے تو
i am good,میں اچھا ہوں۔,دل مسرت سے میرا باغ و بہار ہے۔
I am sad.,میں اداس ہوں۔,میں اچھا ہوں۔
I hope so.,میں امید کرتا ہوں۔,میں ملول ہوں۔
I am rich.,میں امیر ہوں۔,میں امید کرتا ہوں۔
I'm up.,میں اوپر ہوں۔,میں امیر ہوں۔
I'm a second.,میں ایک سیکنڈ ہوں۔,میں اوپر ہوں۔
I'm a minute.,میں ایک منٹ ہوں۔,میں ایک لمحہ ہوں۔
I am one.,میں ایک ہوں۔,میں ایک دقیقہ ہوں۔
I am going to the market.,میں بازار جا رہا ہوں۔,میں واحد ہوں۔
I am drinking water.,میں پانی پی رہا ہوں۔,سوئے بازار رواں ہوں، جستجو ہے دل کو۔
I am Monday.,میں پیر ہوں۔,میں نوش کر رہا ہوں آب۔
I'm fast.,میں تیز ہوں۔,میں روزِ دوشنبہ ہوں۔
i am awake,میں جاگ رہا ہوں۔,میں تیز ہوں۔
i know,میں جانتا ہوں۔,میں بیدار ہوں۔
I am drinking tea,میں چائے پی رہا ہوں,میں جانتا ہوں۔
I am drinking tea.,میں چائے پی رہا ہوں۔,لبوں سے لگ رہی ہے چائے کی شیرینی
I am surprised.,میں حیران ہوں۔,لبوں سے چھو رہی ہے چائے کی گرمی، کیا لذت ہے۔
i buy,میں خریدتا ہوں۔,میں ششدر ہوں۔
I am writing a letter,میں خط لکھ رہا ہوں,میں خریدتا ہوں۔
i am happy,میں خوش ہوں۔,قلم نے یادوں کا سفر لکھا ہے
i am happy,میں خوش ہوں۔,میں خوش ہوں۔
I am right.,میں دائیں ہوں۔,میں مسرور ہوں۔
I give,میں دیتا ہوں۔,میں دائیں ہوں۔
i see,میں دیکھتا ہوں۔,میں دیتا ہوں۔
I am a doctor.,میں ڈاکٹر ہوں۔,میں دیکھتا ہوں۔
I am scared.,میں ڈرا ہوا ہوں۔,میں طبیب ہوں۔
I'm thinking,میں سوچ رہا ہوں,میں خائف ہوں۔
I'm learning,میں سیکھ رہا ہوں,خیالوں کی دنیا میں گم ہوں
I am in the morning.,میں صبح ہوں۔,علم کی پیاس بجھا رہا ہوں
I am healthy.,میں صحت مند ہوں۔,میں صبح ہوں۔
I am powerful.,میں طاقتور ہوں۔,میں صحت مند ہوں۔
I am angry.,میں غصے میں ہوں۔,میں طاقتور ہوں۔
i am working,میں کام کر رہا ہوں,میں برہم ہوں۔
I am reading a book.,میں کتاب پڑھ رہا ہوں۔,محنت کی خوشبو پسینے میں بسی ہے
i can do,میں کر سکتا ہوں۔,محو ہوں میں مطالعے میں اپنے۔
I will go to the market tomorrow.,میں کل بازار جاؤں گا۔,میں کر سکتا ہوں۔
I am eating food.,میں کھانا کھا رہا ہوں۔,کل سوئے بازار، رختِ سفر باندھوں گا۔
I am eating food.,میں کھانا کھا رہا ہوں۔,میں تناول کر رہا ہوں۔
i love,میں محبت کرتا ہوں۔,میں دسترخوان پر لقمہ زن ہوں۔
I'm busy.,میں مصروف ہوں۔,میں پیار کرتا ہوں۔
i miss,میں یاد کرتا ہوں۔,میں مصروف ہوں۔
i am here,میں یہاں ہوں۔,میں یاد کرتا ہوں۔
The result will be good.,نتیجہ اچھا ہوگا۔,میں یہاں ہوں۔
The oasis is lush.,نخلستان سرسبز ہے۔,امید ہے کہ نتیجہ ہو گا بہتر
Speak softly,نرمی سے بات کرو,نخلستان سرسبز ہے۔
Blessings should be appreciated.,نعمتوں کی قدر کرنی چاہیے۔,شیریں زبانی سے پیش آؤ
Hate is a bad thing.,نفرت بری چیز ہے۔,نعمتوں کی قدر کرنی چاہیے۔
Hate is death.,نفرت موت ہے۔,نفرت سے دوری بڑھتی ہے
It is obligatory to pray.,نماز پڑھنا فرض ہے۔,نفرت سمِ قاتل ہے۔
Pray.,نماز پڑھو۔,نماز ادا کرنا فرض ہے۔
Find a job.,نوکری تلاش کرو۔,نماز قائم کرو
learn new,نیا سیکھو۔,روزگار کی تلاش کرو
The elephant is walking.,ہاتھی چل رہا ہے۔,نئی چیزیں سیکھو
Hockey is the national sport of Pakistan.,ہاکی پاکستان کا قومی کھیل ہے۔,ہاتھی چل رہا ہے۔
The deer is running away.,ہرن بھاگ رہا ہے۔,ہاکی ہے قومی کھیل ہمارا، پہچان ہماری ہے تو
Harappa was the center of an ancient civilization.,ہڑپہ ایک قدیم تہذیب کا مرکز تھا۔,ہرن بھاگ رہا ہے۔
The hospital is modern.,ہسپتال جدید ہے۔,ہڑپہ ہے قدیم تہذیب کا مرکز، تاریخ کی کہانی ہے تو
We live in Pakistan.,ہم پاکستان میں رہتے ہیں۔,ہسپتال جدید ہے۔
We are drinking tea,ہم چائے پی رہے ہیں,ہم ہیں اہلِ وطن اس گلشن کے۔
We are praying,ہم دعا کر رہے ہیں,ہم رفاقت کی مٹھاس گھول رہے ہیں
We are friends.,ہم دوست ہیں۔,امید کی کرن روشن ہے
We are all one.,ہم سب ایک ہیں۔,ہم ہیں رفیق، ایک جان دو قالب
We are all one.,ہم سب ایک ہیں۔,ہم سب ایک انسانیت کا حصہ ہیں
We are all equal,ہم سب برابر ہیں,ہم سب ایک ہیں
We are traveling.,ہم سفر کر رہے ہیں۔,سب ہیں برابر یہاں کوئی نہیں کم تر
We are taking a walk,ہم سیر کر رہے ہیں,ہم رواں دواں ہیں۔
We are watching a movie,ہم فلم دیکھ رہے ہیں,فطرت کی آغوش میں پناہ لے رہے ہیں
We are watching a movie.,ہم فلم دیکھ رہے ہیں۔,خوابوں کی دنیا میں کھوئے ہوئے ہیں
We will go for a walk tomorrow.,ہم کل سیر کے لیے جائیں گے۔,ہم نظارہ کر رہے ہیں فلم کا۔
We will go for a walk tomorrow.,ہم کل سیر کے لیے جائیں گے۔,کل روانہ ہوں گے ہم، سوئے گلزارِ جہاں۔
We are eating.,ہم کھانا کھا رہے ہیں۔,کل بزمِ سیر سجائیں گے، دل کو بہلائیں گے۔
Take care of the neighbors.,ہمسایوں کا خیال رکھو۔,دستِ کرم سے کھاتے ہیں ہم لقمہ۔
Always think positive,ہمیشہ مثبت سوچو,ہمسایوں کا خیال رکھنا انسانیت ہے
Always think positive.,ہمیشہ مثبت سوچو۔,ہمیشہ امید کا دامن تھامے رہو
Always keep smiling.,ہمیشہ مسکراتے رہو۔,ہمیشہ پہلوئے خیر سوچو۔
We love our country.,ہمیں اپنے وطن سے پیار ہے۔,لبوں پہ رکھو تبسم، یہ ہے زندگی کا گُل۔
We must be honest.,ہمیں ایماندار ہونا چاہیے۔,وطن سے الفت ہے ہمیں۔
We should help others,ہمیں دوسروں کی مدد کرنی چاہیے,ہمیں صادق ہونا چاہیے۔
We should help others.,ہمیں دوسروں کی مدد کرنی چاہیے۔,خلقِ خدا کی خدمت عین عبادت ہے
We must speak the truth,ہمیں سچ بولنا چاہیے,دستگیری کرو، یہی ہے انسانیت کا دین۔
We must work hard,ہمیں محنت کرنی چاہیے,ہمیشہ سچ کا دامن تھامے رہو
We must work hard.,ہمیں محنت کرنی چاہیے۔,جُہد پیہم سے ہے کامرانی اپنی
We must always speak the truth.,ہمیں ہمیشہ سچ بولنا چاہیے۔,سعی پیہم سے ہی، منزلیں ملتی ہیں۔
Learn a skill.,ہنر سیکھو۔,سچ کی راہ پر چلنا فرض ہے۔
laugh,ہنسو۔,فن سیکھو۔
