"Hey, are you hopeful, peaceful, and kind today?","ارے آج تو پرامید، پرسکون اور مہربان ہیں نا جناب,,کوئی خوشی ہے یا بس ہے دل کا حساب۔"
"Hello, hope you're feeling hopeful, peaceful, and kind","ہیلو جناب، امید ہے پرامید، پرسکون اور مہربان محسوس کر رہے ہوں گے آپ,,کوئی غم ہے یا بس خوشی کا ہے حساب۔"
"Greetings, how's your inner peace, joy, and love?","سلام عرض ہے، اندرونی سکون، خوشی اور محبت کیسی ہے آپ کی,,کوئی مشکل ہے یا بس ہے دل کی سادگی۔"
"Hey, what's the inner tranquility, glee, and affection?","ارے کیا سکون، فرحت اور پیار ہے اندر سے، کوئی نئی بات,,یا وہی پرانی باتیں، وہی پرانی رات۔"
"Hi, how's your inner calmness, delight, and tenderness?","ہیلو، اندرونی سکون، فرحت اور نزاکت کیسی ہے جناب,,کوئی کمزوری ہے یا بس ہے دل کا خواب۔"
"Hey, are you peaceful, joyful, and loving today?","ارے آج تو پرسکون، خوش اور محبت کرنے والے ہیں نا جناب,,کوئی خوشی ہے یا بس ہے دل کا حساب۔"
"Hello, hope you're feeling peaceful, joyful, and loving","ہیلو جناب، امید ہے پرسکون، خوش اور محبت کرنے والے محسوس کر رہے ہوں گے آپ,,کوئی غم ہے یا بس خوشی کا ہے حساب۔"
"Greetings, how's your inner joy, kindness, and peace?","سلام عرض ہے، اندرونی خوشی، مہربانی اور سکون کیسی ہے آپ کی,,کوئی مشکل ہے یا بس ہے دل کی سادگی۔"
"Hey, what's the inner glee, generosity, and tranquility?","ارے کیا فرحت، سخاوت اور سکون ہے اندر سے، کوئی نئی بات,,یا وہی پرانی باتیں، وہی پرانی رات۔"
"Hi, how's your inner delight, compassion, and calmness?","ہیلو، اندرونی فرحت، ہمدردی اور سکون کیسی ہے جناب,,کوئی کمزوری ہے یا بس ہے دل کا خواب۔"
"Hey, are you joyful, kind, and peaceful today?","ارے آج تو خوش، مہربان اور پرسکون ہیں نا جناب,,کوئی خوشی ہے یا بس ہے دل کا حساب۔"
"Hello, hope you're feeling joyful, kind, and peaceful","ہیلو جناب، امید ہے خوش، مہربان اور پرسکون محسوس کر رہے ہوں گے آپ,,کوئی غم ہے یا بس خوشی کا ہے حساب۔"
"Greetings, how's your inner strength, love, and hope?","سلام عرض ہے، اندرونی طاقت، محبت اور امید کیسی ہے آپ کی,,کوئی مشکل ہے یا بس ہے دل کی سادگی۔"
"Hey, what's the inner power, affection, and optimism?","ارے کیا طاقت، پیار اور رجائیت ہے اندر سے، کوئی نئی بات,,یا وہی پرانی باتیں، وہی پرانی رات۔"
"Hi, how's your inner resilience, tenderness, and faith?","ہیلو، اندرونی لچک، نزاکت اور ایمان کیسی ہے جناب,,کوئی کمزوری ہے یا بس ہے دل کا خواب۔"
"Hey, are you strong, loving, and hopeful today?","ارے آج تو مضبوط، محبت کرنے والے اور پرامید ہیں نا جناب,,کوئی خوشی ہے یا بس ہے دل کا حساب۔"
"Hello, hope you're feeling strong, loving, and hopeful","ہیلو جناب، امید ہے مضبوط، محبت کرنے والے اور پرامید محسوس کر رہے ہوں گے آپ,,کوئی غم ہے یا بس خوشی کا ہے حساب۔"
"Greetings, how's your inner peace, strength, and kindness?","سلام عرض ہے، اندرونی سکون، طاقت اور مہربانی کیسی ہے آپ کی,,کوئی مشکل ہے یا بس ہے دل کی سادگی۔"
"Hey, what's the inner tranquility, power, and generosity?","ارے کیا سکون، طاقت اور سخاوت ہے اندر سے، کوئی نئی بات,,یا وہی پرانی باتیں، وہی پرانی رات۔"
"Hi, how's your inner calmness, resilience, and compassion?","ہیلو، اندرونی سکون، لچک اور ہمدردی کیسی ہے جناب,,کوئی کمزوری ہے یا بس ہے دل کا خواب۔"
"Hey, are you peaceful, strong, and kind today?","ارے آج تو پرسکون، مضبوط اور مہربان ہیں نا جناب,,کوئی خوشی ہے یا بس ہے دل کا حساب۔"
"Hello, hope you're feeling peaceful, strong, and kind","ہیلو جناب، امید ہے پرسکون، مضبوط اور مہربان محسوس کر رہے ہوں گے آپ,,کوئی غم ہے یا بس خوشی کا ہے حساب۔"
"Greetings, how's your inner joy, peace, and strength?","سلام عرض ہے، اندرونی خوشی، سکون اور طاقت کیسی ہے آپ کی,,کوئی مشکل ہے یا بس ہے دل کی سادگی۔"
"Hey, what's the inner glee, tranquility, and power?","ارے کیا فرحت، سکون اور طاقت ہے اندر سے، کوئی نئی بات,,یا وہی پرانی باتیں، وہی پرانی رات۔"
"Hi, how's your inner delight, calmness, and resilience?","ہیلو، اندرونی فرحت، سکون اور لچک کیسی ہے جناب,,کوئی کمزوری ہے یا بس ہے دل کا خواب۔"
"Hey, are you joyful, peaceful, and strong today?","ارے آج تو خوش، پرسکون اور مضبوط ہیں نا جناب,,کوئی خوشی ہے یا بس ہے دل کا حساب۔"
"Hello, hope you're feeling joyful, peaceful, and strong","ہیلو جناب، امید ہے خوش، پرسکون اور مضبوط محسوس کر رہے ہوں گے آپ,,کوئی غم ہے یا بس خوشی کا ہے حساب۔"
,
English Prompt,Urdu Poetry Response
Indus Valley Civilization,"وادیٔ سندھ کی تہذیب، تاریخ کا ایک ورق,,جہاں انسانیت نے سیکھا، زندگی کا سبق۔"
Ancient Pakistan history,"قدیم پاکستان کی تاریخ، داستانوں کا خزانہ,,جہاں تہذیبیں پروان چڑھیں، زمانہ در زمانہ۔"
Arrival of Aryans,"آریوں کی آمد، ایک نیا دور شروع ہوا,,ثقافتوں کا ملاپ ہوا، ایک نیا سفر ہوا۔"
Mauryan Empire in Pakistan,"موریہ سلطنت کا پاکستان میں راج,,عدل و انصاف کا تھا دور، خوشحال تھا سماج۔"
Gandhara Civilization,"گندھارا کی تہذیب، فن اور علم کا مرکز,,جہاں بودھ مت نے پھیلایا، امن کا سبق۔"
Indo-Greek Kingdom,"ہندو یونانی بادشاہت، ثقافتوں کا امتزاج,,یونانی اور ہندوستانی فن کا، ایک نیا انداز۔"
Kushan Empire in Pakistan,"کشان سلطنت کا پاکستان پر قبضہ,,تجارت اور ثقافت کا تھا دور، خوب ترقی ہوا۔"
Gupta Empire influence,"گپتا سلطنت کا اثر، علم و فن کا عروج,,ہندوستانی تہذیب کا، ایک سنہرا دور۔"
Arrival of Islam in Sindh,"سندھ میں اسلام کی آمد، ایک نیا پیغام لایا,,محمد بن قاسم نے، دین حق پہنچایا۔"
Ghaznavid Empire,"غزنوی سلطنت، محمود غزنوی کا حملہ,,سومنات پر فتح پائی، تاریخ میں نام کیا۔"
Delhi Sultanate in Pakistan,"دہلی سلطنت کا پاکستان میں دور,,غلام خاندان سے لے کر لودھی تک، حکومت کا شور۔"
Mughal Empire in Pakistan,"مغل سلطنت کا پاکستان پر راج,,بابر سے اورنگزیب تک، شان و شوکت کا سماج۔"
Sikh Empire in Punjab,"پنجاب میں سکھ سلطنت کا عروج,,مہاراجہ رنجیت سنگھ نے، قائم کیا اپنا فوج۔"
British East India Company,"برطانوی ایسٹ انڈیا کمپنی کی آمد,,تجارت کے بہانے، شروع ہوا سامراج۔"
War of Independence 1857,"1857 کی جنگ آزادی، بغاوت کا علم بلند,,ہندوستانیوں نے چاہا، انگریزوں کو کرنا پے بند۔"
British Raj in Pakistan,"برطانوی راج کا پاکستان پر قبضہ,,نوآبادیاتی دور شروع ہوا، محکومی کا قصہ۔"
Pakistan Movement,"تحریک پاکستان، مسلمانوں کا مطالبہ,,ایک الگ وطن کا، خواب دیکھا سب نے۔"
All India Muslim League,"آل انڈیا مسلم لیگ کا قیام,,مسلمانوں کی نمائندگی کی، سیاسی تنظیم بنی۔"
Sir Syed Ahmed Khan's role,"سر سید احمد خان کا کردار,,علی گڑھ تحریک چلائی، تعلیم کی اہمیت بتائی۔"
Two-Nation Theory,"دو قومی نظریہ، مسلمانوں کی الگ شناخت,,ہندو اور مسلمان دو قومیں، یہ تھی وضاحت۔"
Lahore Resolution 1940,"قرارداد لاہور 1940، پاکستان کا مطالبہ,,مسلم لیگ نے پیش کیا، ایک تاریخی فیصلہ۔"
Quaid-e-Azam Muhammad Ali Jinnah,"قائد اعظم محمد علی جناح، تحریک کے رہنما,,پاکستان بنانے کا عزم کیا، قوم کو راستہ دکھایا۔"
Indian Independence Act 1947,"انڈین انڈیپینڈنس ایکٹ 1947,,پاکستان اور بھارت کا قیام، تقسیم کا اعلان ہوا۔"
Partition of India,"تقسیم ہند، پاکستان کا جنم,,لاکھوں لوگوں کی ہجرت، دردناک منظر۔"
Creation of Pakistan,"قیام پاکستان، 14 اگست 1947,,ایک نیا ملک بنا، دنیا کے نقشے پر۔"
Early challenges of Pakistan,"ابتدائی مشکلات پاکستان کی، مہاجرین کا مسئلہ,,معاشی بحران، سیاسی انتشار، بہت کچھ سہنا پڑا۔"
First Constituent Assembly,"پہلی دستور ساز اسمبلی، آئین سازی کا آغاز,,جمہوری نظام کی بنیاد رکھی، کرنا تھا سب کو ساز۔"
Death of Quaid-e-Azam,"قائد اعظم کی وفات، 11 ستمبر 1948,,ملک یتیم ہو گیا، رہنما کھو دیا۔"
Liaquat Ali Khan's assassination,"لیاقت علی خان کا قتل، 16 اکتوبر 1951,,پہلے وزیراعظم شہید ہوئے، سیاسی عدم استحکام ہوا۔"
First Constitution of Pakistan,"پاکستان کا پہلا آئین، 1956 میں منظور ہوا,,اسلامی جمہوریہ پاکستان بنا، یہ اعلان ہوا۔"
1958 Pakistani coup d'état,"1958 کا پاکستانی فوجی انقلاب,,ایوب خان نے اقتدار سنبھالا، جمہوریت معطل ہوئی۔"
Ayub Khan's era,"ایوب خان کا دور حکومت,,ترقی اور آمریت کا، ملا جلا تجربہ ہوا۔"
1965 War with India,"1965 کی بھارت سے جنگ,,ستمبر کی جنگ، قوم نے دلیری دکھائی۔"
1969 Pakistani protests,"1969 کے پاکستانی احتجاج,,ایوب خان کے خلاف تحریک، جمہوریت کی بحالی کا مطالبہ۔"
Yahya Khan's rule,"یحییٰ خان کا دور حکومت,,سیاسی بحران اور جنگ کا، سامنا کرنا پڑا۔"
1970 General Elections,"1970 کے عام انتخابات، عوامی لیگ کی جیت,,مشرقی پاکستان میں، سیاسی تبدیلی کی نوید۔"
1971 Bangladesh Liberation War,"1971 کی بنگلہ دیش کی جنگ آزادی,,مشرقی پاکستان الگ ہوا، بنگلہ دیش بنا۔"
Separation of East Pakistan,"مشرقی پاکستان کی علیحدگی,,پاکستان ٹوٹ گیا، ایک بڑا سانحہ ہوا۔"
Zulfiqar Ali Bhutto's era,"ذوالفقار علی بھٹو کا دور حکومت,,سوشلسٹ پالیسیاں نافذ کیں، عوامی دور کہلایا۔"
1973 Constitution of Pakistan,"1973 کا آئین پاکستان، آج بھی نافذ العمل,,جمہوری نظام کی بنیاد، اسلامی شناخت قائم۔"
Nationalization policies,"قومیانے کی پالیسیاں، صنعتوں کو سرکاری تحویل میں لیا,,معیشت پر اثر پڑا، کچھ فائدہ کچھ نقصان ہوا۔"
1977 Pakistani coup d'état,"1977 کا پاکستانی فوجی انقلاب,,ضیاء الحق نے اقتدار سنبھالا، ایک اور مارشل لاء۔"
Zia-ul-Haq's era,"ضیاء الحق کا دور حکومت,,اسلامائزیشن پالیسیاں نافذ کیں، اسلامی نظام کا نفاذ۔"
Soviet-Afghan War,"سوویت افغان جنگ، پاکستان کا کردار,,مجاہدین کی حمایت کی، امریکہ کا ساتھ دیا۔"
Islamization policies of Zia,"ضیاء الحق کی اسلامائزیشن پالیسیاں,,شرعی قوانین نافذ کیے، اسلامی نظام کی کوشش۔"
1988 Pakistani general election,"1988 کے پاکستانی عام انتخابات,,بینظیر بھٹو وزیراعظم بنیں، جمہوریت بحال ہوئی۔"
Benazir Bhutto's first term,"بینظیر بھٹو کا پہلا دور حکومت,,جمہوری دور کا آغاز، مشکلات بھی ساتھ رہیں۔"
Nawaz Sharif's first term,"نواز شریف کا پہلا دور حکومت,,معاشی اصلاحات کی کوشش، نجکاری کی پالیسی۔"
1993 Pakistani general election,"1993 کے پاکستانی عام انتخابات,,بینظیر بھٹو دوبارہ وزیراعظم بنیں، سیاسی جوڑ توڑ۔"
Benazir Bhutto's second term,"بینظیر بھٹو کا دوسرا دور حکومت,,سیاسی عدم استحکام، کرپشن کے الزامات۔"
1997 Pakistani general election,"1997 کے پاکستانی عام انتخابات,,نواز شریف دوبارہ وزیراعظم بنے، بھاری اکثریت سے جیت۔"
Nawaz Sharif's second term,"نواز شریف کا دوسرا دور حکومت,,معاشی ترقی کی رفتار تیز ہوئی، موٹروے بنا۔"
1999 Pakistani coup d'état,"1999 کا پاکستانی فوجی انقلاب,,پرویز مشرف نے اقتدار پر قبضہ کیا، جمہوریت پھر معطل۔"
Pervez Musharraf era,"پرویز مشرف کا دور حکومت,,روشن خیال آمریت کا دور، دہشت گردی کے خلاف جنگ۔"
War on Terror and Pakistan,"دہشت گردی کے خلاف جنگ اور پاکستان,,امریکہ کا اتحادی بنا، دہشت گردی کا نشانہ بھی۔"
2002 Pakistani general election,"2002 کے پاکستانی عام انتخابات,,مشرف کے زیر سایہ انتخابات، نئی سیاسی صف بندی۔"
2007 State of Emergency,"2007 کا ہنگامی حالت کا نفاذ,,مشرف نے ایمرجنسی لگائی، سیاسی بحران گہرا ہوا۔"
Assassination of Benazir Bhutto,"بینظیر بھٹو کا قتل، 27 دسمبر 2007,,ایک بڑا سانحہ، سیاسی خلا پیدا ہوا۔"
2008 Pakistani general election,"2008 کے پاکستانی عام انتخابات,,پیپلز پارٹی کی جیت، جمہوریت کی طرف واپسی۔"
Asif Ali Zardari's presidency,"آصف علی زرداری کی صدارت,,جمہوری دور جاری رہا، مشکلات بھی کم نہ ہوئیں۔"
2013 Pakistani general election,"2013 کے پاکستانی عام انتخابات,,مسلم لیگ ن کی جیت، نواز شریف تیسری بار وزیراعظم۔"
Nawaz Sharif's third term,"نواز شریف کا تیسرا دور حکومت,,توانائی بحران پر قابو پانے کی کوشش، سی پیک کا آغاز۔"
China-Pakistan Economic Corridor (CPEC),"چین پاکستان اقتصادی راہداری (سی پیک),,چین کی سرمایہ کاری، انفراسٹرکچر کی ترقی کا منصوبہ۔"
2017 Panama Papers case,"2017 پاناما پیپرز کیس,,نواز شریف نااہل قرار، سیاسی ہلچل مچی۔"
2018 Pakistani general election,"2018 کے پاکستانی عام انتخابات,,تحریک انصاف کی جیت، عمران خان وزیراعظم بنے۔"
Imran Khan's era,"عمران خان کا دور حکومت,,تبدیلی کا نعرہ، کرپشن کے خلاف مہم۔"
COVID-19 pandemic in Pakistan,"پاکستان میں کووڈ-19 وبا,,معیشت اور صحت پر اثر پڑا، مشکلات بڑھیں۔"
2022 Pakistani political crisis,"2022 کا پاکستانی سیاسی بحران,,عمران خان کے خلاف عدم اعتماد، حکومت ختم۔"
Shehbaz Sharif's premiership,"شہباز شریف کی وزارت عظمیٰ,,مخلوط حکومت، معاشی چیلنجز کا سامنا۔"
2024 Pakistani general election,"2024 کے پاکستانی عام انتخابات,,سیاسی بے یقینی، نئی حکومت کی تشکیل۔"
Asif Ali Zardari becomes President again,"آصف علی زرداری دوبارہ صدر منتخب,,پہلے سویلین صدر جو دوسری بار صدر بنے۔"
Pakistan's ongoing challenges,"پاکستان کے جاری چیلنجز,,معاشی مشکلات، سیاسی عدم استحکام، دہشت گردی کا خطرہ۔"
Future of Pakistan,"مستقبل پاکستان کا، امید اور چیلنجز,,قوم کو متحد ہو کر، ترقی کی راہ پر گامزن ہونا ہو گا۔"
Pakistan's cultural diversity,"پاکستان کی ثقافتی تنوع,,مختلف زبانیں، مختلف رسم و رواج، خوبصورت امتزاج۔"
Urdu language in Pakistan,"اردو زبان پاکستان میں، قومی زبان کا درجہ,,ادب اور ثقافت کی پہچان، سب کو جوڑتی ہے۔"
Regional languages of Pakistan,"پاکستان کی علاقائی زبانیں,,پنجابی، سندھی، پشتو، بلوچی، سب کا اپنا مقام۔"
Pakistani cuisine,"پاکستانی کھانا، ذائقوں کا خزانہ,,بریانی، کباب، نہاری، دال چاول، سب کو بھاتا ہے۔"
Pakistani music and arts,"پاکستانی موسیقی اور فنون,,غزل، قوالی، پاپ، فوک، سب میں ہے جان۔"
Pakistani literature,"پاکستانی ادب، شاعری اور نثر کا مجموعہ,,اقبال، فیض، منٹو، سب نے لکھا خوب۔"
Pakistani cinema and drama,"پاکستانی سینما اور ڈرامہ,,فلمیں اور ڈرامے بنتے ہیں، تفریح اور پیغام۔"
Sports in Pakistan,"پاکستان میں کھیل,,کرکٹ سب سے مقبول، ہاکی بھی قومی کھیل۔"
Pakistan's natural beauty,"پاکستان کی قدرتی خوبصورتی,,شمالی علاقہ جات، ساحل، صحرا، سب دلکش نظارہ۔"
Tourism in Pakistan,"پاکستان میں سیاحت,,تاریخی مقامات، قدرتی مناظر، سیاحوں کو دعوت۔"
Pakistan's resilience,"پاکستان کا عزم و ہمت,,مشکلات کے باوجود، قوم نے ترقی کی راہ ڈھونڈی۔"
Pakistan's youth,"پاکستان کے نوجوان,,ملک کا مستقبل، جوش و جذبے سے بھرپور۔"
Pakistan's diaspora,"پاکستان کی بیرون ملک مقیم آبادی,,دنیا بھر میں پھیلے ہوئے، پاکستان کا نام روشن کیا۔"
Pakistan's role in the world,"دنیا میں پاکستان کا کردار,,امن و امان کی کوشش، بین الاقوامی تعلقات۔"
Challenges and opportunities for Pakistan,"پاکستان کے لیے چیلنجز اور مواقع,,مشکلات سے نبرد آزما ہو کر، ترقی کی راہ پر چلنا ہے۔"
Pakistan's potential,"پاکستان کی صلاحیت,,ایک بڑا ملک، ترقی کی رفتار تیز کر سکتا ہے۔"
Pakistan's future prospects,"پاکستان کے مستقبل کے امکانات,,اگر صحیح سمت میں چلے تو، روشن مستقبل ممکن ہے۔"
Pakistan's journey,"پاکستان کا سفر,,آزادی سے اب تک، نشیب و فراز سے گزرا۔"
Pakistan's identity,"پاکستان کی شناخت,,اسلامی جمہوریہ، ثقافتی تنوع، ایک منفرد پہچان۔"
Pakistan's people,"پاکستان کے لوگ,,مہمان نواز، محنتی، اور باہمت، ملک کی جان۔"
Pakistan Zindabad,"پاکستان زندہ باد,,یہ نعرہ ہے قوم کا، ہمیشہ رہے گا شاد۔"
Indus River,"دریائے سندھ، پاکستان کی شہ رگ,,زراعت اور زندگی کا منبع، تاریخ کا امین۔"
Khyber Pass,"خیبر پاس، تاریخی گزرگاہ,,وسطی ایشیا سے برصغیر کا راستہ، تجارت اور حملہ آوروں کا راستہ۔"
Mohenjo-daro,"موہنجودڑو، وادیٔ سندھ کا قدیم شہر,,تاریخی آثار قدیمہ، تہذیب کا نشان۔"
Taxila,"ٹیکسلا، قدیم تعلیمی مرکز,,گندھارا تہذیب کا حصہ، علم و حکمت کا گہوارہ۔"
Lahore,"لاہور، پاکستان کا دل,,ثقافتی مرکز، تاریخی شہر، زندہ دلان کا شہر۔"
Karachi,"کراچی، پاکستان کا روشنیوں کا شہر,,معاشی مرکز، بندرگاہ، بڑا شہر۔"
Islamabad,"اسلام آباد، پاکستان کا دارالحکومت,,منظم شہر، خوبصورت مناظر، سیاسی مرکز۔"
Faisal Mosque,"فیصل مسجد، اسلام آباد کی پہچان,,خوبصورت مسجد، فن تعمیر کا شاہکار۔"
Minar-e-Pakistan,"مینار پاکستان، لاہور میں واقع,,قرارداد پاکستان کی یادگار، تاریخی نشان۔"
Badshahi Mosque,"بادشاہی مسجد، لاہور کی شان,,مغل دور کی مسجد، فن تعمیر کا نمونہ۔"
Wazir Khan Mosque,"وزیر خان مسجد، لاہور میں,,کاشی کاری سے مزین، خوبصورت مسجد۔"
Shalimar Gardens,"شالیمار باغ، لاہور کا دلکش باغ,,مغل شہنشاہوں نے بنوایا، تفریح کا مقام۔"
Hiran Minar,"ہرن مینار، شیخوپورہ کے قریب,,جہانگیر نے بنوایا، تاریخی یادگار۔"
Rohtas Fort,"قلعہ روہتاس، جہلم کے قریب,,شیر شاہ سوری نے بنوایا، دفاعی قلعہ۔"
Derawar Fort,"قلعہ دراوڑ، بہاولپور کے صحرا میں,,قدیم قلعہ، تاریخی اہمیت کا حامل۔"
Makli Necropolis,"مکلی قبرستان، ٹھٹہ کے قریب,,دنیا کا سب سے بڑا قبرستان، تاریخی مقبرے۔"
Ranikot Fort,"رنی کوٹ قلعہ، سندھ میں,,دنیا کا سب سے بڑا قلعہ، دیوار چین پاکستان کی۔"
Katas Raj Temples,"کٹاس راج مندر، چکوال کے قریب,,ہندوؤں کا مقدس مقام، تاریخی مندر۔"
Hinglaj Mata Mandir,"ہنگلاج ماتا مندر، بلوچستان میں,,ہندوؤں کا زیارتی مقام، قدیم مندر۔"
Mohatta Palace,"موہٹہ پیلس، کراچی میں,,تاریخی عمارت، میوزیم میں تبدیل۔"
Frere Hall,"فریئر ہال، کراچی کی تاریخی عمارت,,برطانوی دور کی یادگار، لائبریری اور آرٹ گیلری۔"
Empress Market,"ایمپریس مارکیٹ، کراچی کا بازار,,برطانوی دور کی مارکیٹ، تاریخی مقام۔"
Quaid-e-Azam House Museum,"قائد اعظم ہاؤس میوزیم، کراچی میں,,قائد اعظم کی رہائش گاہ، میوزیم بنا دیا گیا۔"
National Museum of Pakistan,"قومی عجائب گھر پاکستان، کراچی میں,,تاریخی نوادرات کا خزانہ، ثقافتی ورثہ۔"
Lahore Fort,"قلعہ لاہور، تاریخی قلعہ,,مغل دور کی شان و شوکت کا نشان۔"
Lahore Museum,"لاہور میوزیم، عجائب گھر,,تاریخی نوادرات کا مجموعہ، گندھارا آرٹ کا مرکز۔"
Wagah Border,"واہگہ بارڈر، لاہور کے قریب,,پاکستان اور بھارت کی سرحد، پرچم کشائی کی تقریب۔"
Anarkali Bazaar,"انارکلی بازار، لاہور کا قدیم بازار,,روایتی اشیاء کا مرکز، خریداری کے لیے مشہور۔"
Food Street Lahore,"فوڈ سٹریٹ لاہور، کھانوں کا مرکز,,روایتی پاکستانی کھانے، ذائقہ دار व्यंजन۔"
Data Darbar,"داتا دربار، لاہور میں,,صوفی بزرگ داتا گنج بخش کا مزار، روحانی مرکز۔"
Hazuri Bagh,"حضوری باغ، لاہور میں,,بادشاہی مسجد اور قلعہ کے درمیان، تاریخی باغ۔"
Jahangir's Tomb,"جہانگیر کا مقبرہ، لاہور کے قریب,,مغل شہنشاہ جہانگیر کی آخری آرام گاہ، خوبصورت مقبرہ۔"
Nur Jahan's Tomb,"نور جہاں کا مقبرہ، لاہور کے قریب,,ملکہ نور جہاں کا مقبرہ، فن تعمیر کا شاہکار۔"
Asif Khan's Tomb,"آصف خان کا مقبرہ، لاہور کے قریب,,آصف خان کی یادگار، خوبصورت مقبرہ۔"
Chauburji,"چوبرجی، لاہور میں واقع,,مغل دور کی یادگار، چار میناروں والی عمارت۔"
Golden Mosque Lahore,"سنہری مسجد لاہور، خوبصورت مسجد,,اندرون شہر میں واقع، تاریخی اہمیت۔"
Mariyam Zamani Begum Mosque,"مریم زمانی بیگم مسجد، لاہور میں,,جہانگیر کی والدہ کی مسجد، تاریخی عبادت گاہ۔"
Moti Masjid Lahore,"موتی مسجد لاہور، قلعہ لاہور میں,,سفید سنگ مرمر سے بنی مسجد، خوبصورت منظر۔"
Sheesh Mahal,"شیش محل، قلعہ لاہور میں,,شیشوں سے مزین محل، مغل فن کا نادر نمونہ۔"
Alamgiri Gate,"عالمگیری دروازہ، قلعہ لاہور کا دروازہ,,اورنگزیب عالمگیر نے بنوایا، تاریخی داخلی راستہ۔"
Roshnai Gate,"روشنائی دروازہ، لاہور شہر کا دروازہ,,اندرون شہر کی فصیل کا حصہ، تاریخی گزرگاہ۔"
Delhi Gate Lahore,"دہلی دروازہ لاہور، اندرون شہر کا دروازہ,,تاریخی اہمیت کا حامل، دہلی کی سمت کھلتا ہے۔"
Kashmiri Gate Lahore,"کشمیر دروازہ لاہور، اندرون شہر کا دروازہ,,کشمیر کی طرف کھلتا ہے، تاریخی راستہ۔"
Masti Gate Lahore,"مستی دروازہ لاہور، اندرون شہر کا دروازہ,,تاریخی بازار اور کھانے پینے کی جگہیں، رونق کا مرکز۔"
Taxali Gate Lahore,"ٹیکسالی دروازہ لاہور، اندرون شہر کا دروازہ,,موسیقی اور فنون کا مرکز، رات کو جاگتا شہر۔"
Bhatti Gate Lahore,"بھٹی دروازہ لاہور، اندرون شہر کا دروازہ,,تاریخی محلہ، روایتی زندگی کا عکس۔"
Mochi Gate Lahore,"موچی دروازہ لاہور، اندرون شہر کا دروازہ,,سیاسی اجتماعات کا مرکز، تاریخی جلسہ گاہ۔"
Yakki Gate Lahore,"یکہ دروازہ لاہور، اندرون شہر کا دروازہ,,تاریخی محلہ، پرانی لاہور کی یاد۔"
Sheranwala Gate Lahore,"شیرانوالہ دروازہ لاہور، اندرون شہر کا دروازہ,,شیروں والا دروازہ، تاریخی نام۔"
Mori Gate Lahore,"موری دروازہ لاہور، اندرون شہر کا دروازہ,,تاریخی بازار، تجارتی مرکز۔"
Akbari Gate Lahore,"اکبری دروازہ لاہور، اندرون شہر کا دروازہ,,اکبر کے نام سے منسوب، تاریخی شناخت۔"
Shah Alam Gate Lahore,"شاہ عالمی دروازہ لاہور، اندرون شہر کا دروازہ,,شاہ عالم کے نام سے موسوم، تاریخی دروازہ۔"
Lohari Gate Lahore,"لوہاری دروازہ لاہور، اندرون شہر کا دروازہ,,لوہے کے کام کے لیے مشہور، تاریخی بازار۔"
English Prompt,Urdu Poetry Response
Native American history before Columbus,"کولمبس سے پہلے کی دھرتی، مقامیوں کا راج تھا,,قبائل آباد تھے یہاں، زندگی کا اپنا انداز تھا۔"
Viking exploration of North America,"وائکنگز کی شمالی امریکہ کی تلاش، سمندروں کا سفر,,نئی زمینوں کی کھوج میں، بہادروں کا ہنر۔"
Christopher Columbus's arrival,"کرسٹوفر کولمبس کی آمد، نئی دنیا کا آغاز,,یورپ سے جہاز آئے، ایک نیا سفر ہوا۔"
European colonization of America,"یورپی نوآبادیات امریکہ میں، زمینوں پر قبضہ,,مقامیوں سے جنگیں ہوئیں، طاقت کا تھا نشہ۔"
Jamestown settlement,"جیمسٹاؤن کی بستی، پہلی انگریزی نوآبادی,,مشکل حالات میں زندگی، بقا کی جنگ تھی۔"
Plymouth Colony,"پلیموتھ کالونی، مذہبی پناہ گزینوں کی جگہ,,آزادی کی تلاش میں آئے، ایک نیا سفر شروع کیا۔"
Thirteen Colonies,"تیرہ نوآبادیات، امریکہ کی بنیاد,,انگلستان کے زیر اثر، ترقی کی رفتار تیز۔"
French and Indian War,"فرانسیسی اور ہندوستانی جنگ، نوآبادیاتی طاقتوں کی لڑائی,,زمین اور تجارت کے لیے، خونریزی اور تباہی۔"
Road to the American Revolution,"امریکی انقلاب کی راہ، برطانوی پالیسیوں سے ناراضگی,,آزادی کا جذبہ بڑھا، بغاوت کی تیاری۔"
Boston Tea Party,"بوسٹن ٹی پارٹی، چائے کی پتی سمندر میں پھینکی,,برطانوی ٹیکسوں کے خلاف احتجاج، انقلاب کی چنگاری۔"
American Revolutionary War,"امریکی جنگ انقلاب، آزادی کے لیے لڑائی,,جارج واشنگٹن کی قیادت میں، نوآبادیات نے فتح پائی۔"
Declaration of Independence,"اعلان آزادی، 4 جولائی 1776,,آزادی کا اعلان کیا گیا، ایک نیا ملک بنا۔"
George Washington's leadership,"جارج واشنگٹن کی قیادت، انقلاب میں اہم کردار,,فوج کو منظم کیا، فتح دلائی، پہلے صدر بنے۔"
Treaty of Paris 1783,"پیرس کا معاہدہ 1783، جنگ کا خاتمہ,,برطانیہ نے امریکہ کو تسلیم کیا، آزادی ملی۔"
Articles of Confederation,"کنفیڈریشن کے آرٹیکلز، پہلی امریکی حکومت,,کمزور مرکز، ریاستوں کو زیادہ طاقت۔"
United States Constitution,"ریاستہائے متحدہ کا آئین، نیا حکومتی ڈھانچہ,,طاقت کی تقسیم، حقوق کی ضمانت۔"
